Type|Title|Start Date|End Date|Location|Description
Conferência|Inovar é ação #CPNatal2|17 de Agosto de 2019 às 19:15|17 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
Conferência|Cenário e tendências do mercado Mobile e Apps:como o Google pode ajudá-lo a ter sucesso? #CPNatal2|17 de Agosto de 2019 às 20:30|17 de Agosto de 2019 às 21:30|Natal, Rio Grande do Norte, Brazil|
Conferência|Como impactar usando ppt #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 22:00|17 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Inteligência Artificial em Sala de Aula Invertida #CPNatal2|17 de Agosto de 2019 às 22:00|17 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Crowdsourcing - Como solucionar problemas através de redes compartilhadas #CPNatal2|17 de Agosto de 2019 às 22:00|17 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Plataforma para veículos inteligentes na perspectiva da Indústria 4.0 #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 22:00|17 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Introdução à containers com Docker #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 22:00|17 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Makers e acessibilidade, Quebrando paradigmas por meio da tecnologia #CPNatal2|17 de Agosto de 2019 às 22:00|17 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|O que elas fazem na Ciência? #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 22:00|17 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Why-fi? Porque ignoramos a segurança em dispositivos sem fio #CPNatal2|17 de Agosto de 2019 às 22:00|17 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Chatbot e a revolução da comunicação #CPNatal2|17 de Agosto de 2019 às 23:00|17 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Empresas descentralizadas #CPNatal2|17 de Agosto de 2019 às 23:00|17 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Conferência|[EJECT] Planejando e Gerenciando Projetos com Agile #CPNatal2|17 de Agosto de 2019 às 23:00|17 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Capture The Flag #CPNatal2 #BANCADADUMONTHACKERSPACE|17 de Agosto de 2019 às 23:00|17 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Introdução à Machine Learning #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 10:30|18 de Agosto de 2019 às 11:30|Natal, Rio Grande do Norte, Brazil|
Conferência|Importância de deixar mais fácil o acesso aos dados abertos e aos aplicativos resultante dele #CPNatal2|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Modernização do Parque de Iluminação #CPNatal2|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Descubra o seu poder. #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 12:00|Natal, Rio Grande do Norte, Brazil|
Conferência|OWASP'S DOCKER SUCURITY #CPNatal2 #COMUNIDADEDEEVOPS|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|5 Dicas pra começar bem no desenvolvimento de jogos #CPNatal2|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Como extrair os melhores resultados de organizações voluntárias #CPNatal2 #COMUNIDADELEP|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Aplicativos mobile nativos VS híbridos #CPNatal2|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Programa Norte-rio-grandense de Pensamento Computacional (Pensa RN!) #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 11:45|18 de Agosto de 2019 às 12:45|Natal, Rio Grande do Norte, Brazil|
Conferência|Centro Cultural Trampolim da Vitória Parnamirim RN #CPNatal2|18 de Agosto de 2019 às 12:00|18 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
