Type|Title|Start Date|End Date|Location|Description
Talk|O que elas fazem na Ciência? #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|Aug. 17, 2019, 10 p.m.|Aug. 17, 2019, 11:45 p.m.|Natal, Rio Grande do Norte, Brazil|Atividade voltada para divulgação cientifica e profissional de mulheres nas áreas STEM, englobando temáticas como sistemas embarcados, tecnologia espacial, eficiência energética e cultura maker.
Talk|Crowdsourcing - Como solucionar problemas através de redes compartilhadas #CPNatal2|Aug. 17, 2019, 10 p.m.|Aug. 17, 2019, 10:45 p.m.|Natal, Rio Grande do Norte, Brazil|Rosângela Moreno, falará como a tecnologia e a tendência inovadora do crowdsourcing com suas plataformas de rede colaborativas e compartilhadas estão revolucionando o consumo, assumindo como protagonistas em um mercado, cada vez mais, baseado na experiência individual e do outro, mudando assim, o comportamento social das pessoas. A palestra vai fazer você viajar em um mundo de oportunidades de soluções de problemas facilitados através de redes compartilhadas.
Talk|Why-fi? Porque ignoramos a segurança em dispositivos sem fio #CPNatal2|Aug. 17, 2019, 10 p.m.|Aug. 17, 2019, 10:45 p.m.|Natal, Rio Grande do Norte, Brazil|Atualmente vivemos conectado 24/7 e os dispositivos sem fio tomaram o mercado tecnológico em diversos setores. Nesta talk iremos abordar a segurança sobre as redes sem fio e mostrar maneiras para se defender diante das ameaças que vivemos constantemente.
Talk|Cenário e tendências do mercado Mobile e Apps:como o Google pode ajudá-lo a ter sucesso? #CPNatal2|Aug. 17, 2019, 8:30 p.m.|Aug. 17, 2019, 9:30 p.m.|Natal, Rio Grande do Norte, Brazil|Entenda melhor o cenário e as tendências atuais do mercado Mobile e Apps, e como o time de monetização do Google pode ajudar os desenvolvedores brasileiros a ter ainda mais sucesso.
Talk|HUMANufacturing Tech: não há nada mais humano do que a tecnologia #CPNatal2 #OpenCampus|Aug. 17, 2019, 7 p.m.|Aug. 17, 2019, 8 p.m.|Natal, Rio Grande do Norte, Brazil|Combinando soluções tecnológicas para indústria 4.0 com transferência de dados em tempo real, realidade virtual, dispositivos portáteis inovadores e autônomos, a Comau tem ajudado empresas de vários segmentos a desfrutarem o potencial da automação sob medida para otimizar seus processos, garantir melhor qualidade e aumentar a flexibilidade de seu potencial produtivo.
Talk|Inovar é ação #CPNatal2|Aug. 17, 2019, 7:15 p.m.|Aug. 17, 2019, 8 p.m.|Natal, Rio Grande do Norte, Brazil|Uma palestra onde Fred Alecrim fala sobre inovação e tendências de negócio. Saiba a importância da inovação para seu negócio e carreira e por onde começar o seu processo de inovação.
Talk|Como é a carreira em engenharia (desenvolvimento) de software? #CPNatal2|Aug. 17, 2019, 7:15 p.m.|Aug. 17, 2019, 8 p.m.|Natal, Rio Grande do Norte, Brazil|"Temos um grande problema em nosso método de ensino Brasileiro onde os jovens sai da escola sem ter uma visão de qual área quer seguir, consequentemente qual faculdade fazer (isso quando faz). Dentro da área de desenvolvimento de software não é diferente, ou seja, como dentro da área de desenvolvimento de software temos N sub-áreas e isso acaba gerando muita duvida em que esta chegando agora. Vou falar um pouco sobre minha carreira e mostra que não é necessário ir para área gerencial para ""ganhar bem""."
Talk|Design Sprint: do Google para sua realidade #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|Aug. 17, 2019, 7:05 p.m.|Aug. 17, 2019, 8 p.m.|Natal, Rio Grande do Norte, Brazil|"O Design Sprint é um processo idealizado na Google Ventures que consiste em 5 dias para criar, desenhar, prototipar e testar uma ideia. Na conversa breve será discutido: ""o que é Design Sprint?"", ""como ele é aplicado na indústria hoje?"" e ""como eu posso aplicar DS nos meus projetos?""."
Talk|Ícones: Semiótica, UX e Acessibilidade #CPNatal2|Aug. 17, 2019, 7:15 p.m.|Aug. 17, 2019, 8 p.m.|Natal, Rio Grande do Norte, Brazil|A palestra irá abordar o uso dos ícones em interfaces digitais (e em outros formatos de aplicação) e seus impactos na experiência do usuário, principalmente na acessibilidade. Para isso, farei uma breve apresentação sobre a semiótica e como ela está presente em nossas vidas, passando para o campo da UX, em que irei falar sobre o uso dos ícones e como eles atuam no âmbito da acessibilidade.
Talk|CTF como ferramenta de aprendizado em segurança da informação #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|Aug. 17, 2019, 7:15 p.m.|Aug. 17, 2019, 8 p.m.|Natal, Rio Grande do Norte, Brazil|Como CTFs (Capture The Flags) podem ser úteis no desenvolvimento de habilidades em segurança da informação e no aprendizado em diversas áreas da computação.
